sleep_hours,study_hours,social_level,energy_level,screen_time,outings_per_week,focus,stress,communication,alone_time,personality
7.052217602372159,1.764830964133076,2.42679523377354,3.280478441609805,6.777320337286205,1.7569343977274312,5.01711843013098,7.1650216153818125,1.0,7.175941588396046,introvert
7.498991955346412,3.711245112444374,2.900874327291565,3.688078854386315,9.696442949093495,4.1612817841951655,5.965829798249195,10.0,5.62005253598714,8.244774794638069,omnivert
6.881996389369001,6.6256264074257025,7.804801234477255,7.624575983330374,5.001721507520877,4.735957691762076,7.090434116500455,7.549788154702147,3.147080988276329,5.329771913745055,ambivert
6.222584741912687,5.675574121487039,6.429847710649348,5.1142437771048535,4.547039739097138,3.343599995840411,5.026659267472347,6.609590708726005,4.372917245975688,6.4802179843281005,ambivert
7.924962663985565,6.135061853276138,5.503225243459512,7.526444800825012,8.388824390110175,0.19541506352506577,1.0,10.0,6.207578657752509,3.781489539087489,omnivert
6.3878070236197395,3.204671930966517,6.514159102071464,5.571158621047887,6.72558148316658,6.409372026362599,5.139521415988983,8.396532464245134,6.113861286719185,5.348717071828276,omnivert
7.1605468754381265,3.131170125434771,7.9906402802400205,6.960187313462432,4.980695183410611,4.047311347480917,6.486259769622982,6.345331896786854,6.693571671798037,6.733063005893414,ambivert
8.717640138197421,6.170790129784269,4.534867453373039,4.26276923344152,4.146009723082937,0.8822437470832099,8.694179292316026,3.6298201049655576,4.436759446662402,6.0,introvert
6.439136709645446,5.239096475283057,4.67397231022624,9.0,4.355696134154911,3.9869187741271412,6.379610280163197,4.468069797664417,5.190179898326583,5.188657650671096,ambivert
4.831550326081821,3.3185564622163226,6.534127131102425,3.8004307250969407,1.0528516641256065,1.4676630780709203,2.619763201270708,10.0,4.485922348180014,3.644713160702239,omnivert
6.771710986704141,4.167685007859536,3.7561532070556036,6.213889723850993,4.830394025110996,2.920751361854447,4.375885270147957,6.647245582281425,2.9435004944220666,6.276965266980378,omnivert
7.1798405096653335,4.239071560149277,4.002560412518395,4.428285272432655,4.551296210221258,3.95250977171896,8.877037190046213,5.775841007515092,5.953646718664182,5.7343993624292455,ambivert
7.128603898311516,3.6337699460554513,8.56398475491418,1.917627290957281,3.95308831193314,5.306900887651943,1.9545703476845384,5.786404641639838,2.7554718847549573,1.2886737287644903,omnivert
8.23669670274887,3.189976855607535,1.0,5.730237280133227,4.11079926167371,0.25650470269390613,6.947818008088377,4.885788946477124,3.790346885498691,7.537192842826582,introvert
5.677249420196292,2.639575299714947,3.4168357378874314,1.7343096247788816,8.401855096558425,1.4703660225856945,6.941589179749877,6.155638985976175,1.4588946727109837,10.0,introvert
6.443898768625045,6.0936947538789275,7.952533815372014,8.315400231891648,4.196327784395682,5.613299849794214,3.917870558889079,5.973310825783592,7.599379265352131,1.0,extrovert
7.781669501566958,3.551735128798519,8.68709933762739,7.614008087118617,7.465381967891028,3.5811215265530407,2.648154507805325,4.75910559724011,9.387655425873836,1.0,extrovert
6.662023141294084,6.394286839638511,5.233562562035019,5.457776691633716,3.2786734600975125,3.617252563936628,5.003986287476259,7.673673171577343,3.2893616479849035,4.230649506705239,ambivert
6.138497331102878,3.490349985861219,2.921775880422642,5.925023743004468,4.448240648209592,1.2018303489148032,6.30863263294603,6.513755698651313,1.0,6.977330428403211,introvert
7.626329878740277,5.280906780560001,8.528017340063998,7.470543301609978,4.814624811839303,8.079505508165491,7.088552609732361,4.04019138822798,10.0,5.0,extrovert
8.299661491810333,3.7978095105565064,7.7348429914044035,7.996320348321685,5.536867866130787,4.06635535879439,4.567617553739813,5.376012195489983,9.15045009253614,1.0,extrovert
8.268987135162615,5.77495100465988,4.613043041681582,6.009031703725038,6.298538815228351,3.635004440333679,6.17038891739249,5.014583346075696,4.355588975001828,3.862706336445761,ambivert
7.472556757859502,6.937342418360396,1.0325259765333235,3.047931362234632,3.3156727345638206,1.3772467788993685,6.420778429932606,9.16908835485955,3.1960350366965735,6.314912520486094,introvert
6.769166842262653,5.570177146097221,8.442407970647482,5.415641299854606,2.9200782005178922,3.410381611957933,5.340583133752166,7.510175827930552,7.249592266030282,1.3210209510475264,extrovert
7.6180572235672575,3.5049069451270407,6.798055988126102,10.0,6.316505511428944,3.45162635134159,2.947675415083995,3.8722051056729647,10.0,1.0062769078146565,extrovert
6.353389772568714,6.840612503611933,1.0,6.086052458067337,4.838421551344886,0.9760053585004161,5.848378064792754,3.7590810708339144,3.5354591389003893,7.646653090894359,introvert
4.51884333509398,8.331020244405888,6.6998909492948755,5.533168653737171,5.138333231202296,2.6063217549666065,4.425180355336401,6.340914710752309,6.417430001669065,7.385627338158018,ambivert
4.7841123426347,3.026187641590781,8.08278219443081,4.867708068201702,6.163295334251526,1.5284149496694628,5.231637995226301,8.045406926911632,6.462117651025315,1.8299571212948387,omnivert
7.380901928204549,1.0,3.0,7.627766772258475,3.7183914685107506,2.8194361230209894,5.392021826495348,3.374053013662109,3.0,4.168885955798286,ambivert
6.877606340036881,3.3079776178412352,5.502746407190633,8.132500068246852,4.243712521661643,2.991509708830197,4.217711621678428,6.587915811924864,8.978933519687857,5.1333598033004435,omnivert
7.490328769242121,6.979732803558932,1.7406939641379533,4.403883353776925,2.1346826117546285,1.2033838871953213,9.330625028144281,6.090083266228215,3.966777737467937,6.64378552461838,introvert
6.485382489272712,6.9461319312951515,9.51106183345724,7.725025317066074,4.60407732310005,1.8688722562898947,6.739747850864815,10.0,3.7741999077111137,3.575313584094111,omnivert
6.809145747519938,2.445010670938421,3.438556001837751,4.206914473234464,5.226009021115083,2.503713704890239,7.651533599161362,6.55876398734387,4.451739036037806,6.101332199904227,introvert
4.614917302478929,4.438636980685442,7.534758128076819,6.368586224970963,8.211275717609901,3.9931642593076333,5.432320950138138,6.804772260293432,10.0,3.7390707571622595,extrovert
5.534987620034773,4.5531391375778965,9.691216928222696,10.0,4.658031038359474,2.530204063100193,8.924748233274181,4.9106658231868945,8.51961665769399,1.5249640983896526,extrovert
5.714929002326665,1.651954899091264,7.951810459226788,6.66376232248825,2.939141295007434,4.371504802685223,7.077562740513807,4.539785564761154,9.166312500909212,1.435630217876241,extrovert
5.220418681621098,4.297726588539468,7.4294880583356315,1.0100212964757098,3.0337973899702897,5.696063689585301,2.812997855939126,5.240894625218005,4.214046441079371,3.605374356993534,omnivert
7.92092167498349,4.235333039114964,6.467901709015629,6.492564948092923,2.1769598754620803,4.889550591290664,5.028287485875521,1.8707901053279459,9.62543478441477,4.800591564874749,extrovert
4.1707697271482935,3.0316452194539973,4.325864486680935,7.7089070987956525,4.246415500879884,4.651600990412633,5.663655037119486,5.186664197036892,5.6823512315689735,3.657263985428639,ambivert
5.966694507791716,1.0,1.0,2.82893032475701,6.38600426089475,0.7551050025913755,6.59044143696009,4.473301257968882,2.763379525152772,9.996479398572168,introvert
7.228762709518029,1.0,3.1837124286383762,4.510767700361913,4.084748210355948,1.3748272339287566,7.182738780967757,3.2592620229084193,4.0391535477732905,6.0,introvert
6.183970334105811,4.598165221563265,8.292560856525439,7.687836753971861,3.2788483090683425,5.08195348542795,4.210147000918303,6.769614360407305,8.310879609222967,3.2227990925777372,extrovert
4.955354095807937,4.557998169697999,3.875729044480873,3.7130063893997955,6.9121578276302635,1.3944987668103144,7.069744608215068,6.205693977221096,6.0,7.179638861256334,introvert
6.141635548888038,3.9856492456300887,10.0,10.0,3.5482534940453343,3.160166328579424,9.821057782474556,6.057475914331608,8.494403981170953,1.0,extrovert
8.477049415785682,2.2719166684969654,4.8221848480722755,3.621108490023367,5.5249986438145005,1.6740538190778644,9.086858269774604,3.485646670370662,3.02277441381065,6.5185856018931245,introvert
